startup_id,config_version,processing_started_at,processing_completed_at,processing_duration_seconds,pipeline_version,Column 64,overall_score,threshold_used,passed_threshold,market_potential_score,market_potential_confidence,solution_viability_score,solution_viability_confidence,team_capability_score,team_capability_confidence,initial_traction_score,initial_traction_confidence,video_moderation_status,video_moderation_high_confidence_labels,transcript_inappropriate_content_found,transcript_length,transcript_word_count,email_type,is_test,Column 1,Column 2
S006,1,2025-07-03T18:17:57Z,2025-07-03T18:20:28Z,151,v1.0,dd/invest,4.25,3.25,True,4,7,4,7,4,6,5,8,APPROVED,0,False,2102,371,congratulations,False,,
S007,1,2025-07-03T17:57:56Z,2025-07-03T18:00:40Z,164,v1.0,dd/invest,4.25,3.25,True,4,7,4,6,4,8,5,9,APPROVED,0,False,3826,690,congratulations,False,,
S010,1,2025-07-03T17:23:58Z,2025-07-03T17:26:53Z,175,v1.0,dd/invest,4.0,3.25,True,4,7,4,7,4,8,4,7,APPROVED,0,False,1824,297,congratulations,False,,
S011,1,2025-07-03T19:16:02Z,2025-07-03T19:18:13Z,131,v1.0,dd/invest,4.0,3.25,True,4,6,4,7,4,6,4,7,APPROVED,0,False,1059,161,congratulations,False,,
S012,1,2025-07-03T18:13:57Z,2025-07-03T18:16:08Z,131,v1.0,dd/invest,4.0,3.25,True,4,8,4,7,4,6,4,8,APPROVED,0,False,2943,459,congratulations,False,,
S014,1,2025-07-03T19:14:01Z,2025-07-03T19:16:04Z,123,v1.0,dd,4.0,3.25,True,4,8,4,7,4,6,4,6,APPROVED,0,False,1097,173,congratulations,False,,
S016,1,2025-07-03T18:11:57Z,2025-07-03T18:14:00Z,123,v1.0,dd,4.0,3.25,True,4,7,4,6,4,6,4,8,APPROVED,0,False,755,122,congratulations,False,,
S001,1,2025-07-03T19:24:01Z,2025-07-03T19:26:24Z,143,v1.0,dd,4.0,3.25,True,4,7,4,6,4,6,4,7,APPROVED,0,False,841,144,congratulations,False,,
S018,1,2025-07-03T17:43:57Z,2025-07-03T17:48:50Z,293,v1.0,dd,4.0,3.25,True,4,8,4,8,4,8,4,8,APPROVED,0,False,10491,1636,congratulations,False,,
S019,1,2025-07-03T18:29:58Z,2025-07-03T18:33:10Z,192,v1.0,dd,4.0,3.25,True,4,7,4,7,4,7,4,8,APPROVED,0,False,4922,826,congratulations,False,,
S008,1,2025-07-03T19:46:04Z,2025-07-03T19:48:13Z,129,v1.0,initial screen,3.75,3.25,True,4,7,4,6,3,6,4,7,APPROVED,0,False,1083,169,congratulations,False,,
S027,1,2025-07-03T16:43:52Z,2025-07-03T16:47:41Z,229,v1.0,initial screen,3.75,3.25,True,4,7,4,7,4,7,3,6,APPROVED,0,False,7772,1351,congratulations,False,,
S005,1,2025-07-03T19:20:01Z,2025-07-03T19:22:06Z,125,v1.0,initial screen,3.75,3.25,True,4,7,4,6,3,5,4,7,APPROVED,0,False,1381,248,congratulations,False,,
S009,1,2025-07-03T18:55:59Z,2025-07-03T18:58:08Z,129,v1.0,initial screen,3.75,3.25,True,4,6,4,6,3,5,4,7,APPROVED,0,False,1147,209,congratulations,False,,
S013,1,2025-07-03T20:12:06Z,2025-07-03T20:16:34Z,268,v1.0,initial screen,3.75,3.25,True,4,7,4,6,3,5,4,6,APPROVED,0,False,931,149,congratulations,False,,
S028,1,2025-07-03T18:45:59Z,2025-07-03T18:48:07Z,128,v1.0,initial screen,3.75,3.25,True,4,7,3,6,4,7,4,8,APPROVED,0,False,1238,199,congratulations,False,,
S017,1,2025-07-03T17:25:54Z,2025-07-03T17:28:40Z,166,v1.0,initial screen,3.75,3.25,True,4,7,4,7,4,7,3,7,APPROVED,0,False,3040,563,congratulations,False,,
S029,1,2025-07-03T19:56:04Z,2025-07-03T19:58:14Z,130,v1.0,initial screen,3.75,3.25,True,4,6,4,6,4,6,3,6,APPROVED,0,False,814,135,congratulations,False,,
S035,1,2025-07-03T16:39:51Z,2025-07-03T16:43:07Z,196,v1.0,initial screen,3.75,3.25,True,4,7,4,7,4,7,3,7,APPROVED,0,False,5528,923,congratulations,False,,
S030,1,2025-07-03T16:51:53Z,2025-07-03T16:54:40Z,167,v1.0,initial screen,3.75,3.25,True,4,7,4,6,4,6,3,6,APPROVED,0,False,2308,396,congratulations,False,,
S031,1,2025-07-03T17:55:56Z,2025-07-03T17:58:38Z,162,v1.0,initial screen,3.75,3.25,True,4,8,4,7,4,6,3,7,APPROVED,0,False,2647,393,congratulations,False,,
S032,1,2025-07-03T19:50:04Z,2025-07-03T19:52:26Z,142,v1.0,initial screen,3.75,3.25,True,4,7,4,7,4,7,3,7,APPROVED,0,False,1073,177,congratulations,False,,
S033,1,2025-07-03T20:02:04Z,2025-07-03T20:04:16Z,132,v1.0,initial screen,3.75,3.25,True,3,6,4,7,4,7,4,8,APPROVED,0,False,793,133,congratulations,False,,
S034,1,2025-07-03T19:00:00Z,2025-07-03T19:02:12Z,132,v1.0,initial screen,3.75,3.25,True,4,7,4,6,3,5,4,7,APPROVED,0,False,1131,179,congratulations,False,,
S003,1,2025-07-03T19:10:00Z,2025-07-03T19:13:09Z,189,v1.0,initial screen,3.75,3.25,True,4,7,3,5,4,7,4,8,APPROVED,0,False,953,164,congratulations,False,,
S024,1,2025-07-03T19:02:00Z,2025-07-03T19:04:41Z,161,v1.0,initial screen,3.75,3.25,True,4,7,4,7,3,6,4,7,APPROVED,0,False,1092,183,congratulations,False,,
S043,1,2025-07-03T17:29:54Z,2025-07-03T17:32:12Z,138,v1.0,initial screen,3.5,3.25,True,4,7,4,7,3,5,3,8,APPROVED,0,False,1060,179,congratulations,False,,
S040,1,2025-07-03T18:41:59Z,2025-07-03T18:44:23Z,144,v1.0,initial screen,3.5,3.25,True,4,8,4,7,3,5,3,7,APPROVED,0,False,2323,360,congratulations,False,,
S022,1,2025-07-03T16:45:53Z,2025-07-03T16:48:32Z,159,v1.0,initial screen,3.5,3.25,True,4,7,3,6,4,6,3,6,APPROVED,0,False,1956,352,congratulations,False,,
S044,1,2025-07-03T19:42:07Z,2025-07-03T19:44:16Z,129,v1.0,initial screen,3.5,3.25,True,4,7,3,6,4,7,3,7,APPROVED,0,False,1096,178,congratulations,False,,
S036,1,2025-07-03T18:15:57Z,2025-07-03T18:18:43Z,166,v1.0,initial screen,3.5,3.25,True,4,7,3,6,4,7,3,7,APPROVED,0,False,3687,661,congratulations,False,,
S045,1,2025-07-03T17:07:53Z,2025-07-03T17:10:36Z,163,v1.0,initial screen,3.5,3.25,True,4,7,3,6,3,6,4,7,APPROVED,0,False,2562,448,congratulations,False,,
S046,1,2025-07-03T17:05:53Z,2025-07-03T17:08:03Z,130,v1.0,initial screen,3.5,3.25,True,3,6,3,6,4,6,4,7,APPROVED,0,False,1488,240,congratulations,False,,
S047,1,2025-07-03T18:01:57Z,2025-07-03T18:04:36Z,159,v1.0,initial screen,3.5,3.25,True,4,7,4,7,3,5,3,7,APPROVED,0,False,2409,376,congratulations,False,,
S048,1,2025-07-03T17:53:57Z,2025-07-03T17:56:07Z,130,v1.0,initial screen,3.5,3.25,True,3,6,4,6,4,7,3,6,APPROVED,0,False,1364,240,congratulations,False,,
S025,1,2025-07-03T18:03:57Z,2025-07-03T18:06:23Z,146,v1.0,initial screen,3.5,3.25,True,4,7,4,7,4,7,2,7,APPROVED,0,False,2308,375,congratulations,False,,
S049,1,2025-07-03T19:52:03Z,2025-07-03T19:54:16Z,133,v1.0,initial screen,3.5,3.25,True,4,7,4,6,3,5,3,6,APPROVED,0,False,954,172,congratulations,False,,
S039,1,2025-07-03T18:37:58Z,2025-07-03T18:40:03Z,125,v1.0,initial screen,3.5,3.25,True,4,7,4,7,3,5,3,7,APPROVED,0,False,1162,185,congratulations,False,,
S050,1,2025-07-03T18:05:57Z,2025-07-03T18:07:58Z,121,v1.0,initial screen,3.5,3.25,True,4,7,3,6,4,7,3,7,APPROVED,0,False,1617,270,congratulations,False,,
S051,1,2025-07-03T19:40:03Z,2025-07-03T19:42:15Z,132,v1.0,initial screen,3.5,3.25,True,4,6,4,7,3,6,3,7,APPROVED,0,False,1524,250,congratulations,False,,
S020,1,2025-07-03T17:39:55Z,2025-07-03T17:42:36Z,161,v1.0,initial screen,3.5,3.25,True,4,8,4,7,3,5,3,7,APPROVED,0,False,1994,330,congratulations,False,,
S056,1,2025-07-03T18:35:59Z,2025-07-03T18:39:51Z,232,v1.0,initial screen,3.25,3.25,True,4,7,3,6,4,7,2,7,APPROVED,0,False,4263,748,congratulations,False,,
S057,1,2025-07-03T20:16:05Z,2025-07-03T20:18:11Z,126,v1.0,initial screen,3.25,3.25,True,3,5,3,5,3,5,4,7,APPROVED,0,False,857,149,congratulations,False,,
S058,1,2025-07-03T20:14:05Z,2025-07-03T20:17:01Z,176,v1.0,initial screen,3.25,3.25,True,4,7,4,6,3,4,2,8,APPROVED,0,False,795,126,congratulations,False,,
S059,1,2025-07-03T20:28:05Z,2025-07-03T20:30:15Z,130,v1.0,initial screen,3.25,3.25,True,3,6,3,5,3,6,4,7,APPROVED,0,False,824,131,congratulations,False,,
S037,1,2025-07-03T19:18:01Z,2025-07-03T19:20:15Z,134,v1.0,initial screen,3.25,3.25,True,3,6,4,6,3,6,3,6,APPROVED,0,False,934,154,congratulations,False,,
S060,1,2025-07-03T17:21:55Z,2025-07-03T17:27:04Z,309,v1.0,initial screen,3.25,3.25,True,3,7,4,7,4,8,2,7,APPROVED,0,False,10397,1900,congratulations,False,,
S061,1,2025-07-03T17:17:54Z,2025-07-03T17:20:07Z,133,v1.0,initial screen,3.25,3.25,True,4,7,4,7,3,5,2,8,APPROVED,0,False,815,130,congratulations,False,,
S062,1,2025-07-03T17:33:55Z,2025-07-03T17:36:31Z,156,v1.0,initial screen,3.25,3.25,True,4,7,3,6,3,5,3,7,APPROVED,0,False,2337,387,congratulations,False,,
S063,1,2025-07-03T19:48:03Z,2025-07-03T19:50:14Z,131,v1.0,initial screen,3.25,3.25,True,4,7,3,5,3,5,3,6,APPROVED,0,False,871,140,congratulations,False,,
S023,1,2025-07-03T19:28:02Z,2025-07-03T19:30:05Z,123,v1.0,initial screen,3.25,3.25,True,4,7,3,6,3,5,3,6,APPROVED,0,False,893,145,congratulations,False,,
S068,1,2025-07-03T17:03:53Z,2025-07-03T17:06:21Z,148,v1.0,initial screen,3.25,3.25,True,3,7,3,6,4,7,3,7,APPROVED,0,False,1813,312,congratulations,False,,
S064,1,2025-07-03T17:27:54Z,2025-07-03T17:30:15Z,141,v1.0,initial screen,3.25,3.25,True,4,7,4,7,3,5,2,7,APPROVED,0,False,927,152,congratulations,False,,
S038,1,2025-07-03T17:13:53Z,2025-07-03T17:16:09Z,136,v1.0,initial screen,3.25,3.25,True,4,8,3,6,4,7,2,8,APPROVED,0,False,1645,289,congratulations,False,,
S065,1,2025-07-03T17:45:59Z,2025-07-03T17:48:12Z,133,v1.0,initial screen,3.25,3.25,True,3,6,4,6,3,5,3,7,APPROVED,0,False,889,156,congratulations,False,,
S066,1,2025-07-03T17:59:56Z,2025-07-03T18:02:16Z,140,v1.0,initial screen,3.25,3.25,True,3,7,3,6,4,7,3,7,APPROVED,0,False,2091,328,congratulations,False,,
S055,1,2025-07-03T20:04:04Z,2025-07-03T20:06:24Z,140,v1.0,initial screen,3.25,3.25,True,4,7,3,6,3,6,3,7,APPROVED,0,False,1263,191,congratulations,False,,
S067,1,2025-07-03T17:31:56Z,2025-07-03T17:34:03Z,127,v1.0,initial screen,3.25,3.25,True,3,6,3,6,4,7,3,8,APPROVED,0,False,1590,256,congratulations,False,,
S021,1,2025-07-03T20:08:05Z,2025-07-03T20:10:22Z,137,v1.0,initial screen,3.25,3.25,True,4,7,3,5,4,6,2,8,APPROVED,0,False,907,159,congratulations,False,,
S073,1,2025-07-03T19:58:04Z,2025-07-03T20:00:10Z,126,v1.0,improvement,3.0,3.25,False,4,7,3,5,3,5,2,7,APPROVED,0,False,1123,208,improvement,False,,
S074,1,2025-07-03T18:58:00Z,2025-07-03T19:00:10Z,130,v1.0,improvement,3.0,3.25,False,4,7,3,6,3,5,2,8,APPROVED,0,False,843,145,improvement,False,,
S075,1,2025-07-03T18:54:00Z,2025-07-03T18:56:07Z,127,v1.0,improvement,3.0,3.25,False,3,5,3,5,3,6,3,5,APPROVED,0,False,1115,175,improvement,False,,
S077,1,2025-07-03T17:41:55Z,2025-07-03T17:44:04Z,129,v1.0,improvement,3.0,3.25,False,4,6,4,6,2,5,2,7,APPROVED,0,False,1034,171,improvement,False,,
S076,1,2025-07-03T19:54:03Z,2025-07-03T19:56:10Z,127,v1.0,improvement,3.0,3.25,False,3,6,3,6,3,5,3,7,APPROVED,0,False,1247,202,improvement,False,,
S078,1,2025-07-03T16:41:51Z,2025-07-03T16:43:55Z,124,v1.0,improvement,3.0,3.25,False,3,6,3,6,3,6,3,5,APPROVED,0,False,1697,293,improvement,False,,
S079,1,2025-07-03T18:21:58Z,2025-07-03T18:24:31Z,153,v1.0,improvement,3.0,3.25,False,3,7,4,7,3,5,2,8,APPROVED,0,False,2380,377,improvement,False,,
S080,1,2025-07-03T18:31:58Z,2025-07-03T18:34:56Z,178,v1.0,improvement,3.0,3.25,False,3,7,3,6,3,7,3,7,APPROVED,0,False,2518,448,improvement,False,,
