startup_id,rnd,dd,Column 30,Column 29,expert_score,prod_score,avg,avg_meth,avg_no_meth,s1_avg_1,s2_avg,s4_avg,s1_anthropic_1,s1_anthropic_2,s1_openai_1,s1_openai_2,s2_anthropic_1,s2_anthropic_2,s2_openai_1,s2_openai_2,s4_anthropic_1,s4_anthropic_2,s4_openai_1,s4_openai_2
S001,98,True,100,35,4.5,4.0,3.85938,3.96875,3.75,3.9375,4.0,4.0,3.75,4.0,4.0,4.0,4,4,4,4,4,4,4,4
S002,60,True,97,34,4.4,3.75,4.09375,4.0625,4.125,4.125,4.0,4.25,4.0,4.0,4.0,4.5,4,4,4,4,4,3,5,5
S005,44,True,94,33,4.3,3.75,3.65625,3.8125,3.5,3.875,3.75,3.5,3.75,3.75,4.0,4.0,4,3,4,4,3,3,4,4
S004,8,True,91,32,4.3,3.0,3.42188,3.34375,3.5,3.1875,3.5,3.5,2.75,3.0,3.5,3.5,3,3,4,4,3,3,4,4
S008,34,True,89,31,4.2,3.75,3.875,3.875,3.875,4.0,3.75,4.25,3.75,3.75,4.25,4.25,4,3,4,4,3,4,5,5
S015,85,True,86,30,4.0,4.0,3.85938,3.84375,3.875,3.9375,3.75,4.0,3.75,3.5,4.25,4.25,4,3,4,4,4,3,5,4
S009,90,True,83,29,4.0,3.75,3.54688,3.59375,3.5,3.6875,3.5,3.5,3.5,3.75,3.75,3.75,3,3,4,4,3,3,4,4
S021,98,True,80,28,4.0,3.25,3.01563,3.03125,3.0,3.0625,3.0,3.0,2.75,3.0,3.25,3.25,3,3,3,3,2,2,4,4
S023,20,True,77,27,3.9,3.25,3.46875,3.5625,3.375,3.625,3.5,3.25,3.25,3.25,4.0,4.0,3,3,4,4,2,3,4,4
S024,100,True,74,26,3.8,3.75,3.57813,3.65625,3.5,3.8125,3.5,3.5,3.5,3.75,4.0,4.0,3,3,4,4,3,3,4,4
S026,17,True,71,25,3.8,3.0,3.125,3.375,2.875,3.25,3.5,3.0,3.0,3.25,3.5,3.25,3,3,4,4,2,2,4,4
S033,12,True,69,24,3.7,3.75,3.54688,3.84375,3.25,3.9375,3.75,3.5,3.75,3.75,4.25,4.0,3,4,4,4,3,3,4,4
S037,36,True,66,23,3.7,3.25,3.5625,3.75,3.375,3.75,3.75,3.5,3.5,3.5,4.0,4.0,3,4,4,4,3,3,4,4
S011,2,True,63,22,3.6,4.0,3.65625,3.8125,3.5,3.625,4.0,3.5,3.25,3.25,4.0,4.0,4,4,4,4,3,3,4,4
S034,37,True,60,21,3.6,3.75,3.71875,3.9375,3.5,3.875,4.0,3.5,3.75,3.75,4.0,4.0,4,4,4,4,3,3,4,4
S041,29,True,57,20,3.6,3.25,3.46875,3.5625,3.375,3.625,3.5,3.5,3.5,3.5,3.75,3.75,3,3,4,4,3,3,4,4
