startup_id,overall_AI_score,initial expert count,dd expert count,exp score,proposed score
S008,3.75,9,0.0,4.2,0.0
S043,3.5,5,0.0,3.4,0.0
S010,4.0,14,11.0,3.9,88.0
S040,3.5,12,3.0,3.6,80.0
S011,4.0,9,2.0,3.6,80.0
S006,4.25,20,20.0,3.7,82.0
S027,3.75,0,0.0,0.0,0.0
S012,4.0,4,0.0,3.8,0.0
S022,3.5,7,0.0,3.9,0.0
S005,3.75,11,3.0,4.2,94.0
S044,3.5,0,0.0,3.1,0.0
S036,3.5,13,9.0,3.7,82.0
S009,3.75,11,4.0,4.1,92.0
S045,3.5,5,0.0,3.2,0.0
S013,3.75,2,0.0,4.0,0.0
S028,3.75,13,0.0,3.2,0.0
S014,4.0,9,0.0,4.0,0.0
S016,4.0,5,0.0,3.2,0.0
S001,4.0,14,5.0,4.3,96.0
S017,3.75,13,9.0,4.0,90.0
S018,4.0,3,0.0,4.0,0.0
S046,3.5,10,0.0,2.8,0.0
S029,3.75,8,0.0,3.3,0.0
S019,4.0,12,0.0,3.7,0.0
S047,3.5,5,0.0,2.8,0.0
S048,3.5,4,,2.3,
S025,3.5,7,0.0,3.9,0.0
S007,4.25,4,0.0,3.8,0.0
S031,3.75,5,0.0,3.6,0.0
S049,3.5,0,0.0,0.0,0.0
S033,3.75,6,0.0,3.7,0.0
S034,3.75,10,3.0,3.6,80.0
S003,3.75,9,3.0,4.4,98.0
S039,3.5,10,0.0,3.7,0.0
S050,3.5,5,,3.2,0.0
S051,3.5,10,,3.4,0.0
S020,3.5,2,0.0,4.0,0.0
S024,3.75,12,6.0,3.9,88.0
S037,3.25,13,3.0,3.7,
S023,3.25,10,2.0,3.7,
S038,3.25,13,7.0,3.7,
