startup_id,rnd,dd,gain,expert_score,lr_prediction,avg,avg_meth,avg_no_meth,s1_avg_1,s2_avg,s4_avg,s1_anthropic_1,s1_anthropic_2,s1_openai_1,s1_openai_2,s2_anthropic_1,s2_anthropic_2,s2_openai_1,s2_openai_2,s4_anthropic_1,s4_anthropic_2,s4_openai_1,s4_openai_2
S002,38,1,4,4.4,4.060513281,4.1171875,4.109375,4.125,4.125,4.0,4.25,4.0,4.0,4.0,4.5,4,4,4,4,4,3,5,5
S008,7,1,4,4.2,3.856534375,3.90625,3.9375,3.875,4.0,3.75,4.25,3.75,3.75,4.25,4.25,4,3,4,4,3,4,5,5
S015,68,1,4,4.0,3.835311328,3.88671875,3.8984375,3.875,3.9375,3.75,4.0,3.75,3.5,4.25,4.25,4,3,4,4,4,3,5,4
S001,77,1,4,4.5,3.771042578,3.82421875,3.8984375,3.75,3.9375,4.0,4.0,3.75,4.0,4.0,4.0,4,4,4,4,4,4,4,4
S034,78,1,3,3.6,3.599285156,3.6484375,3.796875,3.5,3.875,4.0,3.5,3.75,3.75,4.0,4.0,4,4,4,4,3,3,4,4
S005,84,1,4,4.3,3.588286719,3.6328125,3.765625,3.5,3.875,3.75,3.5,3.75,3.75,4.0,4.0,4,3,4,4,3,3,4,4
S024,62,1,3,3.8,3.556065234,3.59765625,3.6953125,3.5,3.8125,3.5,3.5,3.5,3.75,4.0,4.0,3,3,4,4,3,3,4,4
S044,30,0,2,3.2,3.535616016,3.58984375,3.6796875,3.5,3.6875,4.0,3.5,3.5,3.25,4.0,4.0,4,4,4,4,3,3,4,4
S011,85,1,3,3.6,3.514392969,3.5703125,3.640625,3.5,3.625,4.0,3.5,3.25,3.25,4.0,4.0,4,4,4,4,3,3,4,4
S009,31,1,4,4.0,3.513619141,3.55859375,3.6171875,3.5,3.6875,3.5,3.5,3.5,3.75,3.75,3.75,3,3,4,4,3,3,4,4
S037,72,1,3,3.7,3.470573438,3.515625,3.65625,3.375,3.75,3.75,3.5,3.5,3.5,4.0,4.0,3,4,4,4,3,3,4,4
S033,75,1,3,3.7,3.458975391,3.49609375,3.7421875,3.25,3.9375,3.75,3.5,3.75,3.75,4.25,4.0,3,4,4,4,3,3,4,4
S072,100,0,1,3.1,3.44995,3.5,3.5,3.5,3.5,3.5,3.5,3.25,3.25,3.75,3.75,3,3,4,4,3,3,4,4
S041,91,1,3,3.6,3.417128906,3.4609375,3.546875,3.375,3.625,3.5,3.5,3.5,3.5,3.75,3.75,3,3,4,4,3,3,4,4
S023,29,1,4,3.9,3.417128906,3.4609375,3.546875,3.375,3.625,3.5,3.25,3.25,3.25,4.0,4.0,3,3,4,4,2,3,4,4
S076,20,0,1,2.8,3.374682813,3.421875,3.46875,3.375,3.5,3.5,3.25,3.0,3.0,4.0,4.0,3,3,4,4,2,3,4,4
S032,22,0,2,3.3,3.363084766,3.40234375,3.5546875,3.25,3.6875,3.5,3.5,3.5,3.75,3.75,3.75,3,3,4,4,3,3,4,4
S004,4,1,4,4.3,3.343834766,3.40234375,3.3046875,3.5,3.1875,3.5,3.5,2.75,3.0,3.5,3.5,3,3,4,4,3,3,4,4
S055,12,0,2,3.3,3.320638672,3.36328125,3.4765625,3.25,3.5625,3.5,3.5,3.25,3.25,4.0,3.75,3,3,4,4,3,3,4,4
S051,3,0,2,3.4,3.311013672,3.36328125,3.3515625,3.375,3.3125,3.5,3.5,2.75,3.25,3.75,3.5,3,3,4,4,3,3,4,4
S053,33,0,2,3.3,3.150854297,3.20703125,3.1640625,3.25,3.0625,3.5,3.25,2.5,3.25,3.25,3.25,3,3,4,4,2,3,4,4
S085,49,0,1,3.0,3.118033203,3.16796875,3.2109375,3.125,3.1875,3.5,3.25,2.75,3.0,3.5,3.5,3,3,4,4,3,2,4,4
S054,96,0,2,3.3,3.094837109,3.12890625,3.3828125,2.875,3.5625,3.5,3.25,3.25,3.25,4.25,3.5,3,3,4,4,3,2,4,4
S042,90,1,3,3.6,3.042766016,3.08984375,3.1796875,3.0,3.1875,3.5,3.0,2.75,3.0,3.5,3.5,3,3,4,4,2,2,4,4
S088,19,0,1,3.0,3.021542969,3.0703125,3.140625,3.0,3.125,3.5,3.25,3.0,3.0,3.25,3.25,3,3,4,4,2,3,4,4
S026,12,1,3,3.8,2.988721875,3.03125,3.1875,2.875,3.25,3.5,3.0,3.0,3.25,3.5,3.25,3,3,4,4,2,2,4,4
S021,19,1,4,4.0,2.978323047,3.01953125,3.0390625,3.0,3.0625,3.0,3.0,2.75,3.0,3.25,3.25,3,3,3,3,2,2,4,4
S071,24,0,1,3.1,2.977549219,3.0078125,3.015625,3.0,3.125,2.5,3.0,2.75,2.5,4.0,3.25,2,2,3,3,2,2,4,4
S070,81,0,2,3.2,2.934677734,2.97265625,3.1953125,2.75,3.3125,3.5,3.0,2.75,3.0,3.75,3.75,3,3,4,4,2,2,4,4
S052,89,0,2,3.4,2.666855469,2.6953125,2.765625,2.625,2.875,2.5,2.75,2.75,2.5,3.0,3.25,2,2,3,3,2,2,3,4
S069,94,0,2,3.2,2.603186328,2.63671875,2.6484375,2.625,2.6875,2.5,2.75,2.25,2.25,3.0,3.25,2,2,3,3,1,2,4,4
S103,17,0,1,2.4,2.099512109,2.12890625,2.2578125,2.0,2.3125,2.5,2.0,2.0,2.25,2.5,2.5,2,2,3,3,1,1,3,3
S113,47,0,1,2.0,1.853087109,1.87890625,2.0078125,1.75,2.0625,2.25,2.0,2.0,1.75,2.25,2.25,2,3,2,2,1,1,3,3
S110,57,0,1,1.4,1.712003516,1.71484375,1.9296875,1.5,2.1875,1.5,1.5,2.0,2.0,2.5,2.25,1,1,2,2,1,1,2,2
S116,33,0,1,1.3,1.423132422,1.42578125,1.6015625,1.25,1.8125,1.25,1.0,1.75,1.5,2.0,2.0,1,1,2,1,1,1,1,1
