startup_id,avg_initial_traction_confidence,avg_initial_traction_score,avg_market_potential_confidence,avg_market_potential_score,avg_solution_viability_confidence,avg_solution_viability_score,avg_team_capability_confidence,avg_team_capability_score,gain,expert_score
S008,7.5,4.5,7.5,4.0,7.25,4.0,6.0,3.5,4,4.2
S011,6.67,3.67,6.67,3.67,6.67,4.0,6.0,3.67,3,3.6
S004,6.67,2.33,7.0,4.0,5.67,3.33,4.67,2.67,4,4.3
S053,7.0,2.0,6.67,3.67,6.33,3.0,5.33,3.33,2,3.3
S052,8.0,1.75,6.75,3.5,5.75,3.0,6.5,3.25,2,3.4
S103,8.0,1.5,6.0,2.5,5.5,2.75,5.75,2.5,1,2.4
S076,7.0,3.5,6.5,3.5,6.75,3.5,6.0,3.5,1,2.8
S005,7.5,4.0,6.75,4.0,6.75,4.0,5.75,3.5,4,4.3
S044,7.0,3.5,7.5,4.0,6.5,3.5,6.75,3.75,2,3.2
S009,6.75,4.0,6.25,3.75,6.5,4.0,5.5,3.0,4,4.0
S110,6.5,2.5,7.0,2.0,7.25,2.25,7.25,2.0,1,1.4
S037,6.5,3.5,7.25,4.0,6.5,4.0,6.75,3.5,3,3.7
S014,7.0,4.0,8.0,4.33,7.0,4.0,6.67,3.67,4,4.0
S001,6.5,4.0,7.25,4.0,6.5,4.0,6.0,3.75,4,4.5
S071,5.5,3.25,5.75,2.75,5.0,3.0,5.75,3.5,1,3.1
S041,5.75,3.0,7.25,4.0,6.5,4.0,5.75,3.5,3,3.6
S116,7.0,2.0,7.5,1.5,7.25,1.75,6.75,2.0,1,1.3
S023,6.75,3.5,7.25,4.0,6.0,3.5,6.25,3.5,4,3.9
S072,6.0,2.75,6.75,3.5,6.75,3.75,6.75,4.0,1,3.1
S113,8.25,1.0,5.75,2.5,5.25,2.75,6.25,2.0,1,2.0
S069,8.0,1.5,6.5,3.5,6.0,2.25,6.0,3.5,2,3.2
S054,5.5,3.25,5.75,3.5,6.0,3.25,7.5,4.25,2,3.3
S032,6.75,3.0,6.75,3.75,6.75,4.0,7.25,4.0,2,3.3
S033,7.75,4.25,6.25,3.5,7.0,4.0,7.5,4.0,3,3.7
S034,6.5,4.0,7.5,4.0,6.75,4.0,5.75,3.5,3,3.6
S070,6.0,2.75,6.5,3.5,6.25,3.5,5.5,3.5,2,3.2
S055,7.0,3.25,7.5,4.0,6.25,3.5,6.5,3.5,2,3.3
S002,7.75,4.25,7.5,4.0,6.75,4.0,7.5,4.25,4,4.4
S042,6.75,3.5,7.0,3.75,6.25,3.5,5.75,2.0,3,3.6
S085,7.5,2.0,6.5,3.5,6.75,3.75,6.0,3.5,1,3.0
S088,6.25,3.0,7.25,4.0,6.0,3.5,4.75,2.0,1,3.0
S051,7.0,2.75,6.75,3.75,6.5,3.5,5.75,3.25,2,3.4
S021,7.75,2.0,6.75,3.5,6.25,3.25,6.5,3.5,4,4.0
S024,7.5,4.0,7.25,3.75,6.75,3.5,6.5,4.0,3,3.8
S026,7.0,2.75,5.75,3.0,6.25,3.25,7.5,4.0,3,3.8
