iteration,portfolio_size,avg_true_probability,expected_successes,actual_unicorns,portfolio_success_prob,acceptance_rate,use_pitch_filter
0,12,0.013131232392786615,0.15757478871343938,0,0.14739896260403307,0.1,False
1,12,0.010449776925113853,0.12539732310136623,0,0.119200109380459,0.1,False
2,12,0.011833225355615382,0.1419987042673846,0,0.13379501226889934,0.1,False
3,12,0.017577381732490214,0.21092858078988258,0,0.19392696198878234,0.1,False
4,12,0.0076336506117742646,0.09160380734129117,0,0.08841874309755571,0.1,False
5,12,0.012125613656991496,0.14550736388389796,0,0.13681986856563655,0.1,False
6,12,0.016488061368495455,0.19785673642194546,0,0.18223133164929395,0.1,False
7,12,0.027502332203596238,0.33002798644315484,0,0.2860540661835328,0.1,False
8,12,0.01294938248911646,0.15539258986939752,0,0.14593116228755798,0.1,False
9,12,0.013567548638516483,0.1628105836621978,0,0.15398213493985835,0.1,False
10,12,0.013555649693689846,0.16266779632427816,1,0.1530102377950432,0.1,False
11,12,0.015114664833075352,0.18137597799690422,0,0.1690853668174519,0.1,False
12,12,0.012297306205331114,0.14756767446397337,0,0.13864534255600858,0.1,False
13,12,0.010222478576155417,0.12266974291386501,1,0.11686844803466889,0.1,False
14,12,0.011648013567702115,0.1397761628124254,0,0.13168013018889102,0.1,False
15,12,0.016520831889876037,0.19824998267851243,0,0.18379878487245482,0.1,False
16,12,0.022947144445334255,0.27536573334401104,1,0.24668724450526613,0.1,False
17,12,0.011929927265356632,0.1431591271842796,0,0.1347554381445416,0.1,False
18,12,0.022211761256556606,0.26654113507867927,0,0.2376687117866325,0.1,False
19,10,0.009248754253789277,0.09248754253789278,0,0.09091283125766747,0.08333333333333333,False
20,12,0.006165065917303526,0.07398079100764231,0,0.07180934970109598,0.1,False
21,12,0.015571380948045851,0.1868565713765502,0,0.17248047868300387,0.1,False
22,12,0.006475140705917295,0.07770168847100754,0,0.07523826774550779,0.1,False
23,12,0.009447387824725394,0.11336865389670472,0,0.10816121059035555,0.1,False
24,12,0.01307184913136728,0.15686218957640735,0,0.14778127894613247,0.1,False
25,12,0.011812808086595022,0.14175369703914026,0,0.13350988781416184,0.1,False
26,12,0.013431297617805045,0.16117557141366054,1,0.15049448999420612,0.1,False
27,12,0.020815677464643276,0.24978812957571933,0,0.22477565124823595,0.1,False
28,12,0.013086646429457888,0.15703975715349466,0,0.14716005972410917,0.1,False
29,12,0.005240963255744856,0.06289155906893827,0,0.0613683369661332,0.1,False
30,12,0.012088328933700548,0.14505994720440657,0,0.13615716711124448,0.1,False
31,12,0.02025989896377277,0.24311878756527322,0,0.22038850676171384,0.1,False
32,12,0.01376450354780867,0.16517404257370405,0,0.15388884862609165,0.1,False
33,11,0.011310438071333972,0.1244148187846737,1,0.11815011949496879,0.09166666666666666,False
34,12,0.016779766986923413,0.20135720384308095,1,0.18597445849555383,0.1,False
35,12,0.015504353270981139,0.18605223925177367,0,0.17175744826359007,0.1,False
36,12,0.02080314354858462,0.24963772258301542,0,0.22385424753193628,0.1,False
37,12,0.010226537455242735,0.12271844946291283,0,0.11677246584958045,0.1,False
38,12,0.016000541453044758,0.1920064974365371,0,0.1777884532530316,0.1,False
39,12,0.011761901551723672,0.14114281862068406,0,0.13290749298595683,0.1,False
40,12,0.015631019369465104,0.18757223243358126,0,0.1730526611972253,0.1,False
41,12,0.021845830152843967,0.2621499618341276,0,0.23451952033469137,0.1,False
42,12,0.009288222122983837,0.11145866547580605,0,0.10642327155831355,0.1,False
43,12,0.013376023695089568,0.1605122843410748,0,0.15001798790088838,0.1,False
44,12,0.009258169827699449,0.11109803793239338,0,0.10619658858650127,0.1,False
45,12,0.01602048119288394,0.1922457743146073,0,0.17711752700017758,0.1,False
46,12,0.023845223228425683,0.2861426787411082,0,0.25311802014052953,0.1,False
47,12,0.01933595542909636,0.23203146514915635,1,0.2122578764215055,0.1,False
48,12,0.01169126076084012,0.14029512913008144,0,0.1323402344250012,0.1,False
49,12,0.02080516621798171,0.2496619946157805,0,0.2257489071877924,0.1,False
