iteration,portfolio_size,avg_true_probability,expected_successes,actual_unicorns,portfolio_success_prob,acceptance_rate,use_pitch_filter
0,100,0.026887941783457107,2.6887941783457108,4,0.936092411407475,0.025,False
1,100,0.024810148459750065,2.4810148459750065,2,0.9205885910780046,0.025,False
2,100,0.025851785644941918,2.585178564494192,2,0.9288675023404417,0.025,False
3,100,0.02115172430457127,2.115172430457127,1,0.8841597603073277,0.025,False
4,100,0.021726861253177673,2.1726861253177674,3,0.8909770367194492,0.025,False
5,100,0.02276225142417955,2.276225142417955,4,0.9016603070250433,0.025,False
6,100,0.027336946682188237,2.7336946682188237,4,0.939248653866812,0.025,False
7,100,0.02449421668475114,2.449421668475114,5,0.9177988148429603,0.025,False
8,100,0.024445747515692756,2.4445747515692755,2,0.9177028534255188,0.025,False
9,100,0.02445018634242909,2.445018634242909,3,0.9175648373045455,0.025,False
10,100,0.02749389846030121,2.749389846030121,1,0.9397648110575736,0.025,False
11,100,0.027552264677735073,2.7552264677735074,3,0.9404578743633738,0.025,False
12,100,0.028903251778760547,2.8903251778760546,3,0.9483010497167309,0.025,False
13,100,0.02340007116091887,2.340007116091887,1,0.9080783143681253,0.025,False
14,100,0.024321656683546213,2.4321656683546213,3,0.9164680613723927,0.025,False
15,100,0.024545407327383074,2.4545407327383075,5,0.9188620113565591,0.025,False
16,100,0.02753163209979383,2.753163209979383,1,0.9399932800438785,0.025,False
17,100,0.02669199134959095,2.6691991349590953,2,0.9345570276142666,0.025,False
18,100,0.02555731302302461,2.555731302302461,4,0.9266173732145556,0.025,False
19,100,0.02247505351136183,2.247505351136183,4,0.8984966778495339,0.025,False
20,100,0.024981318767388277,2.4981318767388276,2,0.9216696773030494,0.025,False
21,100,0.02527825492160905,2.527825492160905,3,0.9244370045212004,0.025,False
22,100,0.026062434602608472,2.6062434602608473,2,0.9301263554756873,0.025,False
23,100,0.025378119787261524,2.5378119787261526,1,0.9255124079834602,0.025,False
24,100,0.024204647648681864,2.4204647648681865,4,0.9153180882526963,0.025,False
25,100,0.02419386724394847,2.419386724394847,4,0.915459087536352,0.025,False
26,100,0.026259989508346116,2.6259989508346115,4,0.9317663727589016,0.025,False
27,100,0.025896300888520556,2.5896300888520556,6,0.9288418267403987,0.025,False
28,100,0.027581242584575293,2.758124258457529,6,0.9406710402575683,0.025,False
29,100,0.024898119545567293,2.489811954556729,2,0.9211981762572227,0.025,False
30,100,0.026213931288148685,2.6213931288148684,3,0.9309752141459718,0.025,False
31,100,0.02810935085453475,2.810935085453475,3,0.9441818235038543,0.025,False
32,100,0.028556868574439995,2.8556868574439993,3,0.94656090400571,0.025,False
33,100,0.025707361469404513,2.5707361469404515,4,0.9275679878091915,0.025,False
34,100,0.02714392639107699,2.714392639107699,1,0.9378955075612349,0.025,False
35,100,0.027573508462550987,2.7573508462550986,4,0.9407443247016748,0.025,False
36,100,0.026389795799607478,2.638979579960748,3,0.9329047077265035,0.025,False
37,100,0.024809567476634695,2.4809567476634693,5,0.920517227702212,0.025,False
38,100,0.027336327675165334,2.7336327675165335,2,0.9389549174797376,0.025,False
39,100,0.028697099217074033,2.869709921707403,4,0.9470157074913462,0.025,False
40,100,0.026402724874774557,2.6402724874774557,0,0.9326249318800899,0.025,False
41,100,0.025820708224080727,2.5820708224080726,1,0.928645175876877,0.025,False
42,100,0.030394907454795308,3.039490745479531,2,0.9555433095565777,0.025,False
43,100,0.02642808228571124,2.6428082285711243,2,0.9330667863252541,0.025,False
44,100,0.025466148380888697,2.54661483808887,4,0.9258867677713971,0.025,False
45,100,0.025918023036234042,2.591802303623404,3,0.9293256374294969,0.025,False
46,100,0.02568047495497851,2.568047495497851,4,0.9273318348806071,0.025,False
47,100,0.02268249263826537,2.268249263826537,8,0.9009918022098127,0.025,False
48,100,0.024057425199188572,2.4057425199188573,4,0.914520002661628,0.025,False
49,100,0.028093628005013454,2.8093628005013453,2,0.9437214715135626,0.025,False
