iteration,portfolio_size,avg_true_probability,expected_successes,actual_unicorns,portfolio_success_prob,acceptance_rate,use_pitch_filter
0,100,0.028338881940935697,2.8338881940935696,4,0.9451092954577082,0.025,True
1,100,0.024880522655458467,2.488052265545847,0,0.9214088042725375,0.025,True
2,100,0.029958200531562333,2.9958200531562333,2,0.9535390049664614,0.025,True
3,100,0.02855213949391731,2.855213949391731,2,0.9467142678899985,0.025,True
4,100,0.02592980915812318,2.592980915812318,3,0.9297828688161525,0.025,True
5,100,0.021295999335724732,2.1295999335724733,2,0.8859957103048647,0.025,True
6,100,0.03082697132180065,3.082697132180065,1,0.9577182388251405,0.025,True
7,100,0.02929974555126493,2.9299745551264933,7,0.949883687641753,0.025,True
8,100,0.02503415216615899,2.503415216615899,2,0.9226112770064441,0.025,True
9,100,0.026711722963202063,2.6711722963202065,2,0.934868072028098,0.025,True
10,100,0.029834504632478814,2.9834504632478813,1,0.9529451241763996,0.025,True
11,100,0.024636871720012932,2.4636871720012934,0,0.9191777407996008,0.025,True
12,100,0.026174064426031388,2.617406442603139,1,0.931428218070656,0.025,True
13,100,0.029034358770383618,2.903435877038362,3,0.9489373257299543,0.025,True
14,100,0.025432192974468536,2.5432192974468535,2,0.9257207062428453,0.025,True
15,100,0.02661592688102001,2.661592688102001,4,0.9344131236851397,0.025,True
16,100,0.03134297054649949,3.134297054649949,2,0.9599897962182841,0.025,True
17,100,0.02820039014938661,2.820039014938661,3,0.9443154909222593,0.025,True
18,100,0.030892222491272377,3.089222249127238,4,0.9580370539878741,0.025,True
19,100,0.02354852402187207,2.3548524021872073,5,0.9095071025294765,0.025,True
20,100,0.03129145005346477,3.1291450053464773,3,0.9595273511656448,0.025,True
21,100,0.026278110419804167,2.627811041980417,1,0.9320502860164395,0.025,True
22,100,0.025304388209297514,2.5304388209297515,5,0.924510958053495,0.025,True
23,100,0.025655875583516494,2.565587558351649,1,0.9275156355383857,0.025,True
24,100,0.025177002967810495,2.5177002967810496,3,0.9238015699176808,0.025,True
25,100,0.025586417538285514,2.5586417538285513,5,0.9271211881244665,0.025,True
26,100,0.029383975197717727,2.938397519771773,3,0.950849084058005,0.025,True
27,100,0.02720053372393032,2.720053372393032,4,0.9380280743255065,0.025,True
28,100,0.026925453921625354,2.6925453921625353,5,0.9364023134382938,0.025,True
29,100,0.029425553222006417,2.9425553222006418,3,0.9509578231553069,0.025,True
30,100,0.03008797464074937,3.008797464074937,3,0.9541288938480752,0.025,True
31,100,0.0316206033706386,3.16206033706386,5,0.9610719703073277,0.025,True
32,100,0.02994668659377302,2.994668659377302,1,0.9536648520067241,0.025,True
33,100,0.027629117570840907,2.762911757084091,4,0.9408321043804544,0.025,True
34,100,0.025931505239504434,2.5931505239504435,2,0.9292609628086954,0.025,True
35,100,0.0262487628222596,2.62487628222596,5,0.9317599399950864,0.025,True
36,100,0.030097025983159758,3.0097025983159758,1,0.9544432701537374,0.025,True
37,100,0.023828752654490425,2.3828752654490426,3,0.9126876041196994,0.025,True
38,100,0.024926104336917373,2.492610433691737,3,0.9216678086527461,0.025,True
39,100,0.032638210357889566,3.2638210357889563,6,0.9651036332254534,0.025,True
40,100,0.027892665812103874,2.7892665812103874,3,0.9425289734768441,0.025,True
41,100,0.03142381070574109,3.1423810705741086,3,0.96027937557614,0.025,True
42,100,0.032656227977034075,3.265622797703408,3,0.9650744111827999,0.025,True
43,100,0.025511418229119717,2.551141822911972,4,0.926239136082953,0.025,True
44,100,0.028173156681810908,2.8173156681810907,6,0.9442931016484074,0.025,True
45,100,0.030541804880969886,3.0541804880969887,4,0.9561567761095383,0.025,True
46,100,0.02766409915579019,2.766409915579019,3,0.9410261815207154,0.025,True
47,100,0.02815613646022904,2.815613646022904,4,0.9440596291760298,0.025,True
48,100,0.025798145267171894,2.5798145267171892,3,0.9286018716179799,0.025,True
49,100,0.026945597385148328,2.6945597385148328,2,0.9368374776373511,0.025,True
