iteration,portfolio_size,avg_true_probability,expected_successes,actual_unicorns,portfolio_success_prob,acceptance_rate,use_pitch_filter
0,20,0.032151585714923984,0.6430317142984797,1,0.4817381628985945,0.004,True
1,20,0.04139229812690974,0.8278459625381949,1,0.5735449343870604,0.004,True
2,20,0.04238943193819923,0.8477886387639846,2,0.5829281095577568,0.004,True
3,20,0.04474056258667311,0.8948112517334622,1,0.6026141407443297,0.004,True
4,20,0.02978510238983979,0.5957020477967958,1,0.4552334790886565,0.004,True
5,20,0.044588045031857405,0.8917609006371481,0,0.6004938565654676,0.004,True
6,20,0.02958759809359097,0.5917519618718194,1,0.4543375223287347,0.004,True
7,20,0.02930596578815764,0.5861193157631528,1,0.4507850720640171,0.004,True
8,20,0.03798792483142806,0.7597584966285611,1,0.5415317606363241,0.004,True
9,20,0.03103080292476899,0.6206160584953798,0,0.47121722586514403,0.004,True
10,20,0.034921054970024644,0.6984210994004929,1,0.5112934824906916,0.004,True
11,20,0.03256949547143799,0.6513899094287597,0,0.48652869327880943,0.004,True
12,20,0.029633926372552678,0.5926785274510535,0,0.45384080557246875,0.004,True
13,20,0.041484540164595025,0.8296908032919005,1,0.574236106230904,0.004,True
14,20,0.03127288271013064,0.6254576542026127,0,0.4718313337469513,0.004,True
15,20,0.035467716890329966,0.7093543378065993,2,0.5171517412933997,0.004,True
16,20,0.032715891785783595,0.6543178357156719,1,0.488091511844832,0.004,True
17,20,0.03607327061809126,0.7214654123618253,0,0.5216993592015944,0.004,True
18,20,0.035060176358518255,0.7012035271703652,1,0.5135307304645083,0.004,True
19,20,0.03801422021185368,0.7602844042370737,0,0.5408386592499732,0.004,True
20,20,0.04192770225474768,0.8385540450949536,2,0.5784471407359528,0.004,True
21,20,0.03520594049577278,0.7041188099154556,0,0.5136978055678696,0.004,True
22,20,0.040158192866340446,0.803163857326809,0,0.5621618722943806,0.004,True
23,20,0.03364586587114937,0.6729173174229874,2,0.49830922116300036,0.004,True
24,20,0.03603307214444317,0.7206614428888635,0,0.5222881163262112,0.004,True
25,20,0.030523435011083917,0.6104687002216783,0,0.4649241972224145,0.004,True
26,20,0.028043363457940184,0.5608672691588037,0,0.43520585709571136,0.004,True
27,20,0.03827757077423983,0.7655514154847965,2,0.5445690856386878,0.004,True
28,20,0.04019675364335111,0.8039350728670223,0,0.5624863312823725,0.004,True
29,20,0.036338753339170596,0.726775066783412,2,0.5254952525678893,0.004,True
30,20,0.03965544030292029,0.7931088060584058,0,0.5576779765230575,0.004,True
31,20,0.026769782872711388,0.5353956574542278,0,0.41941826984182695,0.004,True
32,20,0.03549255207223061,0.7098510414446122,1,0.517034596786957,0.004,True
33,20,0.03372399022137989,0.6744798044275978,1,0.4986792393446151,0.004,True
34,20,0.035152668585842255,0.7030533717168451,1,0.5135344355108886,0.004,True
35,20,0.02785219325680278,0.5570438651360556,0,0.43297941317834365,0.004,True
36,20,0.04031035000547605,0.8062070001095211,2,0.5632323108027963,0.004,True
37,20,0.03107830516740277,0.6215661033480554,1,0.4706906252093641,0.004,True
38,20,0.031174099593164882,0.6234819918632977,0,0.47062342027483617,0.004,True
39,20,0.030992956769726066,0.6198591353945213,0,0.4702938866225995,0.004,True
40,20,0.032781027911116825,0.6556205582223364,1,0.4889872078683253,0.004,True
41,20,0.04049024158364501,0.8098048316729002,0,0.5647926339490199,0.004,True
42,20,0.03181818921727735,0.6363637843455471,0,0.4788360558641298,0.004,True
43,20,0.02500424231538525,0.500084846307705,1,0.3989680728488094,0.004,True
44,20,0.03499981716253399,0.6999963432506797,0,0.5115210821280445,0.004,True
45,20,0.030081226103132297,0.6016245220626459,3,0.4593044742255554,0.004,True
46,20,0.03640818831230374,0.7281637662460748,1,0.5256883589136123,0.004,True
47,20,0.038094439513560854,0.7618887902712171,1,0.5426305707756836,0.004,True
48,20,0.02990568829013108,0.5981137658026215,0,0.4565975407816736,0.004,True
49,20,0.03186582114248469,0.6373164228496938,1,0.4783164075329126,0.004,True
